# HEGEL:: NS fluid model solution file
# SI UNITS used: position [m], density [kg/m^3], number density [1/m^3], velocity [m/s], pressure [Pa], energy [J/kg], power [W/m^3], heat-flux [W/m^2], electric field [V/m], magnetic field [T]
# x  rho  p  T  H  M  u  v
  0.40012547E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30202035E+06   0.10037481E+00  -0.34852642E+02   0.34852642E+02
  0.40012961E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30206106E+06   0.10368418E+00  -0.36001738E+02   0.36001738E+02
  0.40013385E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30210416E+06   0.10707628E+00  -0.37179562E+02   0.37179562E+02
  0.40013819E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30214977E+06   0.11055319E+00  -0.38386831E+02   0.38386831E+02
  0.40014265E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30219804E+06   0.11411702E+00  -0.39624281E+02   0.39624281E+02
  0.40014721E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30224911E+06   0.11776994E+00  -0.40892668E+02   0.40892668E+02
  0.40015189E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30230311E+06   0.12151419E+00  -0.42192765E+02   0.42192765E+02
  0.40015669E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30236023E+06   0.12535205E+00  -0.43525364E+02   0.43525364E+02
  0.40016161E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30242061E+06   0.12928585E+00  -0.44891278E+02   0.44891278E+02
  0.40016665E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30248444E+06   0.13331799E+00  -0.46291340E+02   0.46291340E+02
  0.40017181E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30255190E+06   0.13745094E+00  -0.47726404E+02   0.47726404E+02
  0.40017711E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30262319E+06   0.14168722E+00  -0.49197344E+02   0.49197344E+02
  0.40018254E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30269850E+06   0.14602940E+00  -0.50705057E+02   0.50705057E+02
  0.40018810E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30277806E+06   0.15048013E+00  -0.52250464E+02   0.52250464E+02
  0.40019380E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30286208E+06   0.15504214E+00  -0.53834505E+02   0.53834505E+02
  0.40019965E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30295080E+06   0.15971819E+00  -0.55458148E+02   0.55458148E+02
  0.40020564E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30304448E+06   0.16451114E+00  -0.57122382E+02   0.57122382E+02
  0.40021178E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30314338E+06   0.16942392E+00  -0.58828221E+02   0.58828221E+02
  0.40021807E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30324777E+06   0.17445952E+00  -0.60576707E+02   0.60576707E+02
  0.40022453E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30335794E+06   0.17962101E+00  -0.62368905E+02   0.62368905E+02
  0.40023114E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30347420E+06   0.18491153E+00  -0.64205907E+02   0.64205907E+02
  0.40023792E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30359687E+06   0.19033432E+00  -0.66088835E+02   0.66088835E+02
  0.40024487E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30372628E+06   0.19589268E+00  -0.68018836E+02   0.68018836E+02
  0.40025199E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30386280E+06   0.20159000E+00  -0.69997087E+02   0.69997087E+02
  0.40025929E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30400679E+06   0.20742975E+00  -0.72024794E+02   0.72024794E+02
  0.40026677E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30415864E+06   0.21341549E+00  -0.74103194E+02   0.74103194E+02
  0.40027444E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30431878E+06   0.21955088E+00  -0.76233553E+02   0.76233553E+02
  0.40028230E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30448763E+06   0.22583965E+00  -0.78417172E+02   0.78417172E+02
  0.40029036E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30466565E+06   0.23228564E+00  -0.80655382E+02   0.80655382E+02
  0.40029862E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30485331E+06   0.23889278E+00  -0.82949546E+02   0.82949546E+02
  0.40030708E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30505114E+06   0.24566510E+00  -0.85301065E+02   0.85301065E+02
  0.40031576E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30525964E+06   0.25260673E+00  -0.87711371E+02   0.87711371E+02
  0.40032465E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30547939E+06   0.25972190E+00  -0.90181936E+02   0.90181936E+02
  0.40033377E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30571097E+06   0.26701495E+00  -0.92714264E+02   0.92714264E+02
  0.40034311E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30595499E+06   0.27449032E+00  -0.95309901E+02   0.95309901E+02
  0.40035269E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30621210E+06   0.28215258E+00  -0.97970428E+02   0.97970428E+02
  0.40036251E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30648299E+06   0.29000639E+00  -0.10069747E+03   0.10069747E+03
  0.40037257E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30676837E+06   0.29805655E+00  -0.10349269E+03   0.10349269E+03
  0.40038288E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30706899E+06   0.30630796E+00  -0.10635778E+03   0.10635778E+03
  0.40039346E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30738564E+06   0.31476566E+00  -0.10929451E+03   0.10929451E+03
  0.40040429E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30771917E+06   0.32343481E+00  -0.11230465E+03   0.11230465E+03
  0.40041540E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30807043E+06   0.33232068E+00  -0.11539005E+03   0.11539005E+03
  0.40042679E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30844036E+06   0.34142869E+00  -0.11855258E+03   0.11855258E+03
  0.40043846E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30882991E+06   0.35076441E+00  -0.12179417E+03   0.12179417E+03
  0.40045042E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30924011E+06   0.36033352E+00  -0.12511681E+03   0.12511681E+03
  0.40046268E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.30967202E+06   0.37014186E+00  -0.12852251E+03   0.12852251E+03
  0.40047524E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.31012676E+06   0.38019540E+00  -0.13201335E+03   0.13201335E+03
  0.40048813E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.31060552E+06   0.39050029E+00  -0.13559146E+03   0.13559146E+03
  0.40050133E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.31110954E+06   0.40106280E+00  -0.13925903E+03   0.13925903E+03
  0.40051486E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.31164011E+06   0.41188937E+00  -0.14301828E+03   0.14301828E+03
  0.40052873E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.31219862E+06   0.42298660E+00  -0.14687152E+03   0.14687152E+03
  0.40054295E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.31278650E+06   0.43436127E+00  -0.15082109E+03   0.15082109E+03
  0.40055753E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.31340527E+06   0.44602030E+00  -0.15486940E+03   0.15486940E+03
  0.40057246E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.31405651E+06   0.45797081E+00  -0.15901891E+03   0.15901891E+03
  0.40058778E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.31474190E+06   0.47022008E+00  -0.16327217E+03   0.16327217E+03
  0.40060347E+00   0.11611974E-02   0.10000000E+03   0.30000000E+03   0.31546320E+06   0.48277558E+00  -0.16763175E+03   0.16763175E+03
