# HEGEL:: NS_NLTE fluid model solution file
# SI UNITS used: position [m], density [kg/m^3], number density [1/m^3], velocity [m/s], pressure [Pa], energy [J/kg], power [W/m^3], heat-flux [W/m^2], electric field [V/m], magnetic field [T]
# x  X_em  X_N  X_O  X_C  X_N2  X_NO  X_O2  X_CO  X_CO2  X_CN  X_C2  X_C3  X_N2p  X_NOp  X_Np  X_O2p  X_Op  X_COp  X_CNp  X_Cp  Th  Tve  rho  p  H  Mf  u  v
  0.40004495E+00   0.16986121E-08   0.96980822E-12   0.96076382E-02   0.17814067E-18   0.78461794E+00   0.61746279E-02   0.19959979E+00   0.22259041E-11   0.26249299E-12   0.14710671E-22   0.90624063E-21   0.10873282E-19   0.35460048E-26   0.17014402E-08   0.00000000E+00   0.00000000E+00   0.13070820E-21   0.24262779E-14   0.29466675E-14   0.15735305E-20   0.66400888E+03   0.10186974E+04   0.12579435E+00   0.24193579E+05   0.81814717E+06   0.64362155E-04  -0.33415911E-01   0.22367974E+03
  0.40004708E+00   0.17299183E-08   0.10883038E-11   0.96836495E-02   0.18625095E-18   0.78456526E+00   0.62195118E-02   0.19953158E+00   0.22879949E-11   0.26705307E-12   0.96616155E-23   0.92920114E-21   0.15859129E-19   0.11409907E-28   0.17324181E-08   0.00000000E+00   0.00000000E+00   0.13959669E-21   0.24720319E-14   0.30009288E-14   0.21567048E-20   0.67741323E+03   0.10289649E+04   0.12330275E+00   0.24194024E+05   0.83392029E+06   0.69576243E-04  -0.36486632E-01   0.23161809E+03
  0.40004925E+00   0.17613612E-08   0.12269413E-11   0.97604443E-02   0.19458731E-18   0.78451214E+00   0.62648625E-02   0.19946255E+00   0.23489703E-11   0.27136719E-12   0.64848130E-23   0.82122570E-21   0.49405883E-20   0.00000000E+00   0.17635900E-08   0.22287242E-22   0.00000000E+00   0.37494235E-21   0.25176622E-14   0.30548747E-14   0.34239592E-21   0.69094787E+03   0.10392357E+04   0.12088012E+00   0.24193493E+05   0.84985318E+06   0.75032849E-04  -0.39740227E-01   0.23962352E+03
  0.40005148E+00   0.17929448E-08   0.13894583E-11   0.98380312E-02   0.20330640E-18   0.78445856E+00   0.63106896E-02   0.19939271E+00   0.24087853E-11   0.27543331E-12   0.44332651E-23   0.37186647E-21   0.11684970E-19   0.00000000E+00   0.17949571E-08   0.71327864E-23   0.00000000E+00   0.37524485E-21   0.25632026E-14   0.31085523E-14   0.29578709E-20   0.70461512E+03   0.10495164E+04   0.11853282E+00   0.24193902E+05   0.86594898E+06   0.80815529E-04  -0.43225245E-01   0.24769700E+03
  0.40005377E+00   0.18246518E-08   0.15803541E-11   0.99164348E-02   0.21186016E-18   0.78440452E+00   0.63570101E-02   0.19932203E+00   0.24673944E-11   0.27925024E-12   0.30925714E-23   0.47302139E-21   0.18383101E-21   0.00000000E+00   0.18265634E-08   0.15258463E-22   0.00000000E+00   0.88519334E-22   0.26089120E-14   0.31622458E-14   0.17504053E-20   0.71841918E+03   0.10598146E+04   0.11624834E+00   0.24193414E+05   0.88221313E+06   0.86858412E-04  -0.46911361E-01   0.25584060E+03
  0.40005611E+00   0.18565232E-08   0.18049950E-11   0.99956727E-02   0.22126569E-18   0.78434999E+00   0.64038379E-02   0.19925049E+00   0.25247542E-11   0.28281687E-12   0.21925631E-23   0.23543285E-21   0.37821593E-20   0.00000000E+00   0.18583849E-08   0.75445744E-23   0.00000000E+00   0.40339271E-22   0.26545950E-14   0.32157625E-14   0.46779762E-21   0.73236332E+03   0.10701372E+04   0.11403221E+00   0.24193791E+05   0.89865000E+06   0.93250736E-04  -0.50851455E-01   0.26405586E+03
  0.40005852E+00   0.18885885E-08   0.20697601E-11   0.10075747E-01   0.23192843E-18   0.78429498E+00   0.64511783E-02   0.19917809E+00   0.25808224E-11   0.28613167E-12   0.15890949E-23   0.55429113E-21   0.39706637E-20   0.00000000E+00   0.18903878E-08   0.22804731E-22   0.00000000E+00   0.16340519E-21   0.27000685E-14   0.32689160E-14   0.64393746E-21   0.74644885E+03   0.10804894E+04   0.11187383E+00   0.24193340E+05   0.91526158E+06   0.99922261E-04  -0.55012433E-01   0.27234312E+03
  0.40006098E+00   0.19208758E-08   0.23823363E-11   0.10156676E-01   0.24021796E-18   0.78423946E+00   0.64990449E-02   0.19910482E+00   0.26355584E-11   0.28919410E-12   0.11595952E-23   0.18457184E-21   0.21732608E-21   0.00000000E+00   0.19225623E-08   0.00000000E+00   0.00000000E+00   0.11375962E-21   0.27452690E-14   0.33216446E-14   0.32843977E-20   0.76067894E+03   0.10908779E+04   0.10977810E+00   0.24193688E+05   0.93205223E+06   0.10696797E-03  -0.59451649E-01   0.28070386E+03
  0.40006351E+00   0.19533855E-08   0.27519776E-11   0.10238483E-01   0.24962613E-18   0.78418342E+00   0.65474541E-02   0.19903064E+00   0.26889228E-11   0.29200400E-12   0.86307447E-24   0.66272788E-22   0.34731839E-21   0.00000000E+00   0.19549348E-08   0.13113542E-23   0.00000000E+00   0.16979211E-21   0.27903486E-14   0.33741120E-14   0.27323382E-20   0.77505748E+03   0.11013096E+04   0.10773526E+00   0.24193272E+05   0.94902716E+06   0.11431359E-03  -0.64133543E-01   0.28913989E+03
  0.40006609E+00   0.19861069E-08   0.31897219E-11   0.10321177E-01   0.26050297E-18   0.78412685E+00   0.65964141E-02   0.19895555E+00   0.27408775E-11   0.29456114E-12   0.65400433E-24   0.42715308E-21   0.00000000E+00   0.00000000E+00   0.19875204E-08   0.12499104E-22   0.00000000E+00   0.17324133E-21   0.28354231E-14   0.34264429E-14   0.22051121E-20   0.78958637E+03   0.11117901E+04   0.10574985E+00   0.24193592E+05   0.96618920E+06   0.12205928E-03  -0.69119750E-01   0.29765191E+03
  0.40006875E+00   0.20190331E-08   0.37088270E-11   0.10404767E-01   0.27114884E-18   0.78406975E+00   0.66459333E-02   0.19887955E+00   0.27913860E-11   0.29686556E-12   0.50156444E-24   0.10419700E-20   0.32148772E-19   0.00000000E+00   0.20203294E-08   0.00000000E+00   0.00000000E+00   0.15852755E-21   0.28805667E-14   0.34787194E-14   0.96608668E-21   0.80426745E+03   0.11223248E+04   0.10381347E+00   0.24193208E+05   0.98354119E+06   0.13012708E-03  -0.74372214E-01   0.30624055E+03
  0.40007146E+00   0.20521825E-08   0.43253200E-11   0.10489276E-01   0.28068483E-18   0.78401210E+00   0.66960270E-02   0.19880260E+00   0.28404136E-11   0.29891802E-12   0.38822350E-24   0.16351941E-21   0.82273444E-21   0.11358127E-28   0.20533668E-08   0.83961069E-23   0.31916347E-21   0.23132556E-21   0.29257666E-14   0.35309334E-14   0.10753670E-20   0.81910429E+03   0.11329204E+04   0.10192995E+00   0.24193503E+05   0.10010881E+07   0.13862247E-03  -0.79957162E-01   0.31490745E+03
  0.40007425E+00   0.20855672E-08   0.50584699E-11   0.10574722E-01   0.29281584E-18   0.78395387E+00   0.67467080E-02   0.19872469E+00   0.28879269E-11   0.30071940E-12   0.30664633E-24   0.27247046E-20   0.59943238E-19   0.30232241E-28   0.20866371E-08   0.29893985E-22   0.55522082E-21   0.13156206E-21   0.29710242E-14   0.35830901E-14   0.26595526E-20   0.83409976E+03   0.11435830E+04   0.10009167E+00   0.24193147E+05   0.10188340E+07   0.14746396E-03  -0.85834227E-01   0.32365380E+03
  0.40007711E+00   0.21191746E-08   0.59313349E-11   0.10661108E-01   0.30369611E-18   0.78389509E+00   0.67979816E-02   0.19864582E+00   0.29338935E-11   0.30227075E-12   0.24361059E-24   0.43865022E-20   0.12889283E-18   0.32183139E-28   0.21201487E-08   0.47038211E-22   0.62261667E-21   0.20048960E-21   0.30164096E-14   0.36352653E-14   0.50099788E-20   0.84925495E+03   0.11543176E+04   0.98302329E-01   0.24193419E+05   0.10367809E+07   0.15676180E-03  -0.92073898E-01   0.33247978E+03
  0.40008003E+00   0.21530161E-08   0.69718663E-11   0.10748456E-01   0.31507573E-18   0.78383571E+00   0.68498619E-02   0.19856597E+00   0.29782835E-11   0.30357364E-12   0.19686848E-24   0.77124294E-20   0.22270618E-18   0.78537011E-28   0.21539105E-08   0.16866360E-22   0.44548594E-21   0.14453120E-21   0.30619344E-14   0.36874749E-14   0.57491414E-20   0.86457302E+03   0.11651305E+04   0.96555085E-01   0.24193089E+05   0.10549335E+07   0.16643166E-03  -0.98633806E-01   0.34138673E+03
  0.40008304E+00   0.21871064E-08   0.82137838E-11   0.10836789E-01   0.32884531E-18   0.78377573E+00   0.69023640E-02   0.19848511E+00   0.30210695E-11   0.30463002E-12   0.16140420E-24   0.12717036E-19   0.36529216E-18   0.60482201E-28   0.21879302E-08   0.00000000E+00   0.40494742E-21   0.26458273E-21   0.31075975E-14   0.37397209E-14   0.46351064E-20   0.88005728E+03   0.11760282E+04   0.94852994E-01   0.24193341E+05   0.10732965E+07   0.17658852E-03  -0.10558904E+00   0.35037609E+03
  0.40008611E+00   0.22214447E-08   0.96974749E-11   0.10926113E-01   0.34162361E-18   0.78371515E+00   0.69554934E-02   0.19840324E+00   0.30622233E-11   0.30544193E-12   0.13330828E-24   0.20202035E-19   0.65477891E-18   0.17704141E-28   0.22222063E-08   0.16991188E-22   0.37090079E-21   0.27017986E-21   0.31533986E-14   0.37920044E-14   0.54002479E-20   0.89570884E+03   0.11870157E+04   0.93190153E-01   0.24193034E+05   0.10918722E+07   0.18714485E-03  -0.11289487E+00   0.35944799E+03
  0.40008926E+00   0.22560403E-08   0.11471770E-10   0.11016445E-01   0.35500224E-18   0.78365395E+00   0.70092618E-02   0.19832034E+00   0.31017203E-11   0.30601188E-12   0.11137197E-24   0.32062590E-19   0.10218573E-17   0.58105919E-28   0.22567431E-08   0.00000000E+00   0.48115363E-21   0.19743872E-21   0.31993349E-14   0.38443241E-14   0.65246570E-20   0.91153016E+03   0.11980989E+04   0.91569364E-01   0.24193266E+05   0.11106643E+07   0.19822042E-03  -0.12063102E+00   0.36860334E+03
  0.40009250E+00   0.22909051E-08   0.13595658E-10   0.11107806E-01   0.36964029E-18   0.78359212E+00   0.70636834E-02   0.19823639E+00   0.31395376E-11   0.30634268E-12   0.94449760E-25   0.48576403E-19   0.15594727E-17   0.20747460E-27   0.22915500E-08   0.12453177E-22   0.89775057E-21   0.12076125E-21   0.32454178E-14   0.38966939E-14   0.60236588E-20   0.92752428E+03   0.12092842E+04   0.89985139E-01   0.24192980E+05   0.11296775E+07   0.20972531E-03  -0.12875107E+00   0.37784336E+03
