# HEGEL:: NS surface quantity file for 'WALL' patch
# x [m]  r [m]  qn [W/m^2]  p [Pa]  T [K]  tau_xx [Pa]  tau_xy [Pa]  tau_yy [Pa]
 -0.21045294E+00   0.21378496E+00   0.46115712E+05   0.37881614E+04   0.30875286E+03  -0.19709988E+02   0.16297171E+00   0.19808277E+02
 -0.20706899E+00   0.21706424E+00   0.45698735E+05   0.36710812E+04   0.30867244E+03  -0.19952513E+02   0.79693961E+00   0.20049952E+02
 -0.20363394E+00   0.22028996E+00   0.45282075E+05   0.35551721E+04   0.30858903E+03  -0.20161295E+02   0.14452416E+01   0.20257873E+02
 -0.20014866E+00   0.22346132E+00   0.44841577E+05   0.34405384E+04   0.30850272E+03  -0.20348986E+02   0.21075621E+01   0.20444600E+02
 -0.19661399E+00   0.22657756E+00   0.44401574E+05   0.33272815E+04   0.30841348E+03  -0.20499226E+02   0.27808532E+01   0.20593860E+02
 -0.19303081E+00   0.22963788E+00   0.43936060E+05   0.32155005E+04   0.30832139E+03  -0.20626005E+02   0.34655671E+01   0.20719549E+02
 -0.18940000E+00   0.23264155E+00   0.43471175E+05   0.31052942E+04   0.30822640E+03  -0.20712306E+02   0.41573214E+01   0.20804737E+02
 -0.18572246E+00   0.23558781E+00   0.42979190E+05   0.29967618E+04   0.30812855E+03  -0.20773022E+02   0.48574416E+01   0.20864225E+02
 -0.18199909E+00   0.23847595E+00   0.42488010E+05   0.28900023E+04   0.30802779E+03  -0.20790642E+02   0.55601275E+01   0.20880586E+02
 -0.17823082E+00   0.24130525E+00   0.41968349E+05   0.27851141E+04   0.30792414E+03  -0.20780834E+02   0.62676662E+01   0.20869400E+02
 -0.17441858E+00   0.24407501E+00   0.41449925E+05   0.26821930E+04   0.30781758E+03  -0.20725896E+02   0.69728167E+01   0.20813046E+02
 -0.17056329E+00   0.24678454E+00   0.40902086E+05   0.25813291E+04   0.30770814E+03  -0.20642275E+02   0.76789615E+01   0.20727890E+02
 -0.16666593E+00   0.24943319E+00   0.40356277E+05   0.24826035E+04   0.30759581E+03  -0.20512448E+02   0.83774954E+01   0.20596485E+02
 -0.16272744E+00   0.25202029E+00   0.39780531E+05   0.23860873E+04   0.30748070E+03  -0.20353500E+02   0.90730145E+01   0.20435845E+02
