# HEGEL:: NS_NLTE fluid model solution file
# SI UNITS used: position [m], density [kg/m^3], number density [1/m^3], velocity [m/s], pressure [Pa], energy [J/kg], power [W/m^3], heat-flux [W/m^2], electric field [V/m], magnetic field [T]
# x  X_em  X_N  X_O  X_C  X_N2  X_NO  X_O2  X_CO  X_CO2  X_CN  X_C2  X_C3  X_N2p  X_NOp  X_Np  X_O2p  X_Op  X_COp  X_CNp  X_Cp  Th  Tve  rho  p  H  Mf  u  v
  0.40002802E+00   0.14576613E-08   0.32955402E-12   0.55288375E-02   0.11476727E-18   0.78066270E+00   0.68659097E-02   0.19750799E+00   0.91900059E-02   0.24455370E-03   0.23061313E-20   0.85781011E-23   0.00000000E+00   0.46838880E-24   0.14609618E-08   0.68302613E-24   0.13207930E-21   0.35307146E-23   0.20378234E-14   0.24749125E-14   0.00000000E+00   0.54883544E+03   0.92554686E+03   0.15244265E+00   0.24194655E+05   0.61695820E+06   0.26040629E-04  -0.12278899E-01   0.15517970E+03
  0.40002972E+00   0.14877390E-08   0.35202734E-12   0.56142264E-02   0.12309614E-18   0.78063369E+00   0.69047418E-02   0.19745485E+00   0.91485343E-02   0.24396338E-03   0.12134773E-20   0.43456023E-23   0.31304645E-21   0.15087410E-24   0.14903924E-08   0.00000000E+00   0.00000000E+00   0.16226429E-23   0.20911974E-14   0.25408091E-14   0.00000000E+00   0.56121620E+03   0.93631348E+03   0.14906831E+00   0.24193794E+05   0.63180215E+06   0.29185442E-04  -0.13916474E-01   0.16260066E+03
  0.40003147E+00   0.15178299E-08   0.37754046E-12   0.57002812E-02   0.13087443E-18   0.78060464E+00   0.69438800E-02   0.19740122E+00   0.91066463E-02   0.24333508E-03   0.65257247E-21   0.30986123E-22   0.19691127E-22   0.45006581E-25   0.15200254E-08   0.00000000E+00   0.24685916E-21   0.16326070E-23   0.21433059E-14   0.26048491E-14   0.00000000E+00   0.57370095E+03   0.94700155E+03   0.14582226E+00   0.24194446E+05   0.64677396E+06   0.32559586E-04  -0.15697502E-01   0.17007562E+03
  0.40003325E+00   0.15479372E-08   0.40666983E-12   0.57870096E-02   0.13850646E-18   0.78057556E+00   0.69833305E-02   0.19734709E+00   0.90643321E-02   0.24267068E-03   0.35953443E-21   0.64203555E-22   0.53579087E-21   0.18415331E-25   0.15498559E-08   0.00000000E+00   0.00000000E+00   0.22754425E-23   0.21943916E-14   0.26673435E-14   0.00000000E+00   0.58629181E+03   0.95762088E+03   0.14268018E+00   0.24193668E+05   0.66187633E+06   0.36122137E-04  -0.17605582E-01   0.17760552E+03
  0.40003508E+00   0.15781073E-08   0.44009947E-12   0.58744148E-02   0.14612293E-18   0.78054647E+00   0.70230979E-02   0.19729247E+00   0.90215814E-02   0.24197190E-03   0.20313836E-21   0.54026206E-22   0.14754485E-20   0.78852351E-26   0.15798319E-08   0.21110221E-24   0.00000000E+00   0.23640721E-23   0.22443059E-14   0.27281845E-14   0.93355434E-23   0.59899042E+03   0.96818027E+03   0.13965293E+00   0.24194258E+05   0.67711141E+06   0.39931547E-04  -0.19672401E-01   0.18519103E+03
  0.40003696E+00   0.16084096E-08   0.47865722E-12   0.59625311E-02   0.15378357E-18   0.78051732E+00   0.70631984E-02   0.19723732E+00   0.89783876E-02   0.24124007E-03   0.11764507E-21   0.51656767E-22   0.37214844E-22   0.33760899E-26   0.16099152E-08   0.25015228E-23   0.38684575E-23   0.19153731E-23   0.22929103E-14   0.27872676E-14   0.20098451E-21   0.61180153E+03   0.97869062E+03   0.13671887E+00   0.24193555E+05   0.69248516E+06   0.43941824E-04  -0.21878925E-01   0.19283464E+03
  0.40003889E+00   0.16388635E-08   0.52333510E-12   0.60513970E-02   0.16146972E-18   0.78048810E+00   0.71036495E-02   0.19718163E+00   0.89347451E-02   0.24047632E-03   0.69792165E-22   0.41461095E-22   0.58528408E-22   0.14452522E-26   0.16401234E-08   0.00000000E+00   0.61268467E-25   0.00000000E+00   0.23404586E-14   0.28448897E-14   0.78122442E-24   0.62473027E+03   0.98916255E+03   0.13388678E+00   0.24194094E+05   0.70800399E+06   0.48217768E-04  -0.24260930E-01   0.20053905E+03
  0.40004086E+00   0.16694241E-08   0.57530598E-12   0.61410194E-02   0.16940345E-18   0.78045881E+00   0.71444569E-02   0.19712539E+00   0.88906453E-02   0.23968184E-03   0.42421252E-22   0.11066571E-22   0.15294084E-21   0.61866271E-27   0.16705019E-08   0.00000000E+00   0.33013247E-21   0.00000000E+00   0.23874521E-14   0.29016000E-14   0.15868256E-21   0.63777845E+03   0.99960352E+03   0.13113852E+00   0.24193452E+05   0.72367037E+06   0.52708068E-04  -0.26796472E-01   0.20830502E+03
  0.40004288E+00   0.17000801E-08   0.63597146E-12   0.62314039E-02   0.17747586E-18   0.78042944E+00   0.71856254E-02   0.19706859E+00   0.88460794E-02   0.23885775E-03   0.26393824E-22   0.14708223E-22   0.28708615E-21   0.26479157E-27   0.17010593E-08   0.00000000E+00   0.00000000E+00   0.00000000E+00   0.24340653E-14   0.29576083E-14   0.97211386E-22   0.65094777E+03   0.10100205E+04   0.12848251E+00   0.24193944E+05   0.73948659E+06   0.57483714E-04  -0.29525356E-01   0.21613320E+03
  0.40004495E+00   0.17308428E-08   0.70703091E-12   0.63225845E-02   0.18572194E-18   0.78039998E+00   0.72271708E-02   0.19701122E+00   0.88010408E-02   0.23800481E-03   0.16796529E-22   0.00000000E+00   0.51106032E-22   0.11332422E-27   0.17318134E-08   0.00000000E+00   0.00000000E+00   0.72688766E-24   0.24804268E-14   0.30130772E-14   0.45924199E-22   0.66424275E+03   0.10204226E+04   0.12590236E+00   0.24193359E+05   0.75545845E+06   0.62488528E-04  -0.32422963E-01   0.22402590E+03
  0.40004708E+00   0.17617556E-08   0.79052522E-12   0.64145946E-02   0.19414985E-18   0.78037040E+00   0.72691083E-02   0.19695325E+00   0.87555234E-02   0.23712369E-03   0.10925439E-22   0.26737694E-22   0.94897960E-21   0.48488621E-28   0.17627496E-08   0.00000000E+00   0.18577009E-22   0.00000000E+00   0.25264240E-14   0.30679133E-14   0.83080549E-22   0.67766775E+03   0.10308184E+04   0.12340503E+00   0.24193811E+05   0.77159157E+06   0.67799756E-04  -0.35533452E-01   0.23198535E+03
  0.40004925E+00   0.17928565E-08   0.88888213E-12   0.65074385E-02   0.20281545E-18   0.78034070E+00   0.73114421E-02   0.19689468E+00   0.87095191E-02   0.23621521E-03   0.72583322E-23   0.19556826E-22   0.36949279E-21   0.20723893E-28   0.17938268E-08   0.00000000E+00   0.22715344E-22   0.00000000E+00   0.25718599E-14   0.31219253E-14   0.29230535E-22   0.69122418E+03   0.10412137E+04   0.12097671E+00   0.24193273E+05   0.78788800E+06   0.73356066E-04  -0.38829190E-01   0.24001200E+03
  0.40005148E+00   0.18241629E-08   0.10050262E-11   0.66011298E-02   0.21164759E-18   0.78031089E+00   0.73541798E-02   0.19683550E+00   0.86630204E-02   0.23528002E-03   0.49202838E-23   0.21955816E-22   0.12067872E-20   0.88472040E-29   0.18250360E-08   0.00000000E+00   0.91953806E-22   0.83846229E-23   0.26167431E-14   0.31751339E-14   0.14860165E-21   0.70491437E+03   0.10516152E+04   0.11862392E+00   0.24193688E+05   0.80435094E+06   0.79240864E-04  -0.42358670E-01   0.24810685E+03
  0.40005377E+00   0.18556911E-08   0.11425017E-11   0.66957008E-02   0.22059262E-18   0.78028093E+00   0.73973361E-02   0.19677569E+00   0.86160206E-02   0.23431857E-03   0.34002144E-23   0.17567564E-22   0.11235232E-21   0.37473002E-29   0.18563901E-08   0.00000000E+00   0.88131162E-23   0.00000000E+00   0.26611722E-14   0.32276546E-14   0.22414866E-21   0.71874246E+03   0.10620305E+04   0.11633403E+00   0.24193195E+05   0.82098585E+06   0.85388219E-04  -0.46091596E-01   0.25627196E+03
  0.40005611E+00   0.18873994E-08   0.13055675E-11   0.67911745E-02   0.22988635E-18   0.78025083E+00   0.74409220E-02   0.19671523E+00   0.85685129E-02   0.23333129E-03   0.23948286E-23   0.10261560E-21   0.11350570E-20   0.15030061E-29   0.18879487E-08   0.00000000E+00   0.10800099E-22   0.00000000E+00   0.27055621E-14   0.32799336E-14   0.28274729E-21   0.73271160E+03   0.10724666E+04   0.11411269E+00   0.24193577E+05   0.83779701E+06   0.91887516E-04  -0.50080945E-01   0.26450879E+03
  0.40005852E+00   0.19192552E-08   0.14993267E-11   0.68875553E-02   0.23933342E-18   0.78022057E+00   0.74849415E-02   0.19665412E+00   0.85204903E-02   0.23231872E-03   0.17172297E-23   0.86328325E-22   0.96049832E-21   0.52987488E-30   0.19197399E-08   0.00000000E+00   0.15328772E-21   0.27752281E-23   0.27501279E-14   0.33322087E-14   0.28094558E-21   0.74682308E+03   0.10829286E+04   0.11194921E+00   0.24193121E+05   0.85478643E+06   0.98668033E-04  -0.54293428E-01   0.27281768E+03
  0.40006098E+00   0.19512847E-08   0.17299702E-11   0.69848673E-02   0.24901121E-18   0.78019015E+00   0.75294058E-02   0.19659235E+00   0.84719456E-02   0.23128119E-03   0.12525378E-23   0.78853335E-22   0.88225459E-21   0.88198048E-31   0.19517547E-08   0.00000000E+00   0.00000000E+00   0.11884089E-22   0.27947726E-14   0.33843919E-14   0.21211787E-21   0.76108011E+03   0.10934233E+04   0.10984857E+00   0.24193473E+05   0.87195853E+06   0.10582523E-03  -0.58786677E-01   0.28120011E+03
  0.40006351E+00   0.19835174E-08   0.20049982E-11   0.70831415E-02   0.25889575E-18   0.78015954E+00   0.75743290E-02   0.19652989E+00   0.84228718E-02   0.23021893E-03   0.92864623E-24   0.10331468E-21   0.24873523E-20   0.00000000E+00   0.19839891E-08   0.00000000E+00   0.21617321E-22   0.16886252E-22   0.28394224E-14   0.34364176E-14   0.18054143E-21   0.77548650E+03   0.11039577E+04   0.10780092E+00   0.24193053E+05   0.88931853E+06   0.11328414E-03  -0.63524818E-01   0.28965789E+03
  0.40006609E+00   0.20159679E-08   0.23334190E-11   0.71823889E-02   0.26910158E-18   0.78012875E+00   0.76197171E-02   0.19646674E+00   0.83732624E-02   0.22913228E-03   0.69960098E-24   0.56988414E-21   0.11596356E-19   0.19359587E-29   0.20164316E-08   0.66688126E-25   0.58758025E-22   0.17943353E-23   0.28840174E-14   0.34882298E-14   0.16786735E-21   0.79004407E+03   0.11145372E+04   0.10581092E+00   0.24193378E+05   0.90686918E+06   0.12114572E-03  -0.68569942E-01   0.29819164E+03
  0.40006875E+00   0.20486428E-08   0.27261265E-11   0.72826216E-02   0.27954158E-18   0.78009778E+00   0.76655769E-02   0.19640289E+00   0.83231109E-02   0.22802153E-03   0.53487424E-24   0.12579633E-20   0.33167532E-19   0.41680616E-29   0.20490807E-08   0.25756903E-26   0.67053333E-22   0.00000000E+00   0.29285604E-14   0.35398374E-14   0.95427398E-22   0.80475470E+03   0.11251674E+04   0.10387006E+00   0.24192989E+05   0.92461340E+06   0.12933090E-03  -0.73883432E-01   0.30680205E+03
  0.40007146E+00   0.20815438E-08   0.31963626E-11   0.73838686E-02   0.29031044E-18   0.78006659E+00   0.77119212E-02   0.19633832E+00   0.82724098E-02   0.22688680E-03   0.41494510E-24   0.31313366E-20   0.86605306E-19   0.76219963E-29   0.20819582E-08   0.00000000E+00   0.66466717E-22   0.00000000E+00   0.29731520E-14   0.35913524E-14   0.11161397E-23   0.81962192E+03   0.11358550E+04   0.10198224E+00   0.24193288E+05   0.94255614E+06   0.13794637E-03  -0.79532235E-01   0.31549071E+03
  0.40007425E+00   0.21146830E-08   0.37601408E-11   0.74861521E-02   0.30161061E-18   0.78003519E+00   0.77587604E-02   0.19627301E+00   0.82211526E-02   0.22572825E-03   0.32657500E-24   0.72421787E-20   0.20729356E-18   0.63038605E-29   0.21150676E-08   0.21250120E-23   0.47036729E-22   0.00000000E+00   0.30177911E-14   0.36427794E-14   0.16269715E-22   0.83464850E+03   0.11466061E+04   0.10013979E+00   0.24192928E+05   0.96070146E+06   0.14690921E-03  -0.85475215E-01   0.32425876E+03
  0.40007711E+00   0.21480532E-08   0.44367455E-11   0.75894770E-02   0.31375002E-18   0.78000358E+00   0.78060982E-02   0.19620696E+00   0.81693335E-02   0.22454613E-03   0.26074767E-24   0.15928009E-19   0.46463706E-18   0.10592048E-28   0.21484124E-08   0.36748764E-23   0.57217417E-22   0.00000000E+00   0.30625177E-14   0.36941641E-14   0.45673929E-22   0.84983549E+03   0.11574254E+04   0.98346467E-01   0.24193204E+05   0.97905137E+06   0.15633114E-03  -0.91783723E-01   0.33310636E+03
  0.40008003E+00   0.21816634E-08   0.52496781E-11   0.76938705E-02   0.32690501E-18   0.77997173E+00   0.78539466E-02   0.19614016E+00   0.81169452E-02   0.22334049E-03   0.21124434E-24   0.31196088E-19   0.94088033E-18   0.91758604E-29   0.21820046E-08   0.78828338E-24   0.63003483E-22   0.00000000E+00   0.31073642E-14   0.37455457E-14   0.75040901E-22   0.86518611E+03   0.11683196E+04   0.96595358E-01   0.24192870E+05   0.99761056E+06   0.16612609E-03  -0.98414451E-01   0.34203490E+03
  0.40008304E+00   0.22155349E-08   0.62274345E-11   0.77993616E-02   0.34154282E-18   0.77993964E+00   0.79023181E-02   0.19607258E+00   0.80639803E-02   0.22211135E-03   0.17374771E-24   0.56472660E-19   0.17441828E-17   0.52823751E-29   0.22158455E-08   0.44684918E-24   0.72964772E-22   0.90787179E-24   0.31522950E-14   0.37968914E-14   0.13928524E-23   0.88070364E+03   0.11792951E+04   0.94889576E-01   0.24193125E+05   0.10163839E+07   0.17641087E-03  -0.10544358E+00   0.35104576E+03
  0.40008611E+00   0.22496647E-08   0.74043288E-11   0.79059558E-02   0.35794636E-18   0.77990730E+00   0.79512168E-02   0.19600423E+00   0.80104338E-02   0.22085889E-03   0.14504835E-24   0.94137426E-19   0.29864827E-17   0.16743187E-28   0.22499355E-08   0.00000000E+00   0.11116783E-21   0.10306793E-22   0.31973250E-14   0.38482187E-14   0.22335230E-22   0.89638908E+03   0.11903567E+04   0.93223167E-01   0.24192814E+05   0.10353733E+07   0.18709593E-03  -0.11282527E+00   0.36013904E+03
  0.40008926E+00   0.22840520E-08   0.88220642E-11   0.80136747E-02   0.37666926E-18   0.77987471E+00   0.80006521E-02   0.19593508E+00   0.79562986E-02   0.21958314E-03   0.12302267E-24   0.14629950E-18   0.47626632E-17   0.46116000E-29   0.22842899E-08   0.18841829E-23   0.15354743E-21   0.20657081E-23   0.32425165E-14   0.38995963E-14   0.59155240E-22   0.91224493E+03   0.12015106E+04   0.91598974E-01   0.24193049E+05   0.10545825E+07   0.19830308E-03  -0.12064044E+00   0.36931567E+03
