# HEGEL:: NS_NLTE fluid model solution file
# SI UNITS used: position [m], density [kg/m^3], number density [1/m^3], velocity [m/s], pressure [Pa], energy [J/kg], power [W/m^3], heat-flux [W/m^2], electric field [V/m], magnetic field [T]
# x  X_em  X_N  X_O  X_C  X_N2  X_NO  X_O2  X_CO  X_CO2  X_CN  X_C2  X_C3  X_N2p  X_NOp  X_Np  X_O2p  X_Op  X_COp  X_CNp  X_Cp  Th  Tve  rho  p  H  Mf  u  v
  0.40002802E+00   0.13996984E-08   0.26604498E-12   0.48296705E-02   0.90046530E-19   0.77918800E+00   0.73585340E-02   0.19658535E+00   0.11669137E-01   0.36930675E-03   0.50637723E-20   0.12245641E-22   0.42134053E-22   0.32490695E-23   0.14020699E-08   0.86727507E-24   0.10398282E-21   0.34329539E-22   0.19887892E-14   0.24026410E-14   0.00000000E+00   0.53177592E+03   0.10900423E+04   0.15737408E+00   0.24194491E+05   0.60599927E+06   0.27775258E-04  -0.12889433E-01   0.16268044E+03
  0.40002972E+00   0.14311175E-08   0.28530296E-12   0.49204729E-02   0.99761071E-19   0.77916501E+00   0.73962064E-02   0.19653470E+00   0.11615369E-01   0.36823879E-03   0.25243806E-20   0.42207978E-23   0.00000000E+00   0.00000000E+00   0.14331676E-08   0.48690481E-23   0.11136464E-21   0.15941446E-22   0.20499588E-14   0.24774289E-14   0.00000000E+00   0.54477002E+03   0.10968368E+04   0.15360804E+00   0.24193595E+05   0.62128226E+06   0.31151742E-04  -0.14632277E-01   0.17023905E+03
  0.40003147E+00   0.14625202E-08   0.30722579E-12   0.50118111E-02   0.10815637E-18   0.77914217E+00   0.74341129E-02   0.19648368E+00   0.11561105E-01   0.36711957E-03   0.12789869E-20   0.12478723E-22   0.10963384E-23   0.00000000E+00   0.14643565E-08   0.38775402E-23   0.99309833E-22   0.28969053E-22   0.21082950E-14   0.25486866E-14   0.00000000E+00   0.55785192E+03   0.11036544E+04   0.15000313E+00   0.24194201E+05   0.63667364E+06   0.34765807E-04  -0.16525188E-01   0.17784107E+03
  0.40003325E+00   0.14939281E-08   0.33234110E-12   0.51037352E-02   0.11602463E-18   0.77911944E+00   0.74722744E-02   0.19643226E+00   0.11506336E-01   0.36595145E-03   0.66437001E-21   0.16379110E-21   0.29984188E-20   0.00000000E+00   0.14956615E-08   0.42147726E-23   0.71222538E-22   0.55384018E-22   0.21644535E-14   0.26171519E-14   0.00000000E+00   0.57102816E+03   0.11105003E+04   0.14653070E+00   0.24193409E+05   0.65218143E+06   0.38576163E-04  -0.18552146E-01   0.18549005E+03
  0.40003508E+00   0.15253520E-08   0.36127629E-12   0.51962693E-02   0.12366583E-18   0.77909682E+00   0.75107026E-02   0.19638042E+00   0.11451051E-01   0.36473672E-03   0.35479968E-21   0.76470678E-23   0.23767966E-20   0.00000000E+00   0.15270885E-08   0.16703702E-23   0.38818522E-22   0.41882889E-22   0.22188744E-14   0.26833306E-14   0.00000000E+00   0.58430257E+03   0.11173787E+04   0.14319869E+00   0.24193952E+05   0.66780989E+06   0.42641188E-04  -0.20744663E-01   0.19318796E+03
  0.40003696E+00   0.15567961E-08   0.39478006E-12   0.52894189E-02   0.13140552E-18   0.77907430E+00   0.75494026E-02   0.19632816E+00   0.11395234E-01   0.36347761E-03   0.19515127E-21   0.42444415E-22   0.71019252E-23   0.00000000E+00   0.15586300E-08   0.45936499E-23   0.64978448E-22   0.71087128E-23   0.22718503E-14   0.27475679E-14   0.56512843E-22   0.59767704E+03   0.11242929E+04   0.13998399E+00   0.24193243E+05   0.68356198E+06   0.46914859E-04  -0.23084146E-01   0.20093563E+03
  0.40003889E+00   0.15882982E-08   0.43376279E-12   0.53832203E-02   0.13914904E-18   0.77905186E+00   0.75883900E-02   0.19627547E+00   0.11338877E-01   0.36217572E-03   0.11043237E-21   0.37313846E-22   0.00000000E+00   0.00000000E+00   0.15902787E-08   0.56472101E-23   0.73138985E-22   0.31928282E-23   0.23235170E-14   0.28100455E-14   0.14525933E-21   0.61115650E+03   0.11312474E+04   0.13689322E+00   0.24193733E+05   0.69944397E+06   0.51461347E-04  -0.25605866E-01   0.20873563E+03
  0.40004086E+00   0.16198998E-08   0.47932602E-12   0.54777181E-02   0.14705292E-18   0.77902948E+00   0.76276831E-02   0.19622231E+00   0.11281972E-01   0.36083233E-03   0.64250981E-22   0.40427800E-22   0.70004885E-23   0.00000000E+00   0.16220343E-08   0.62654297E-25   0.59791409E-22   0.11460494E-22   0.23739944E-14   0.28709229E-14   0.16153856E-21   0.62474658E+03   0.11382474E+04   0.13390587E+00   0.24193098E+05   0.71546252E+06   0.56230299E-04  -0.28288931E-01   0.21659095E+03
  0.40004288E+00   0.16517226E-08   0.53278209E-12   0.55729244E-02   0.15512054E-18   0.77900714E+00   0.76672889E-02   0.19616868E+00   0.11224506E-01   0.35944889E-03   0.38400457E-22   0.12244839E-21   0.29572175E-20   0.00000000E+00   0.16537824E-08   0.00000000E+00   0.88137550E-22   0.23245869E-22   0.24226439E-14   0.29295558E-14   0.39324578E-21   0.63844966E+03   0.11452967E+04   0.13102831E+00   0.24193540E+05   0.73162092E+06   0.61291205E-04  -0.31172231E-01   0.22450269E+03
  0.40004495E+00   0.16837686E-08   0.59571137E-12   0.56688501E-02   0.16330141E-18   0.77898486E+00   0.77072139E-02   0.19611458E+00   0.11166468E-01   0.35802671E-03   0.23554535E-22   0.13429984E-21   0.10278276E-20   0.00000000E+00   0.16855288E-08   0.00000000E+00   0.79178796E-22   0.31458852E-22   0.24697585E-14   0.29862614E-14   0.26570866E-22   0.65226786E+03   0.11523986E+04   0.12824360E+00   0.24192967E+05   0.74792243E+06   0.66589387E-04  -0.34232349E-01   0.23247179E+03
  0.40004708E+00   0.17159019E-08   0.67003715E-12   0.57655338E-02   0.17165364E-18   0.77896260E+00   0.77474740E-02   0.19605997E+00   0.11107849E-01   0.35656661E-03   0.14815883E-22   0.28186893E-21   0.30408666E-20   0.00000000E+00   0.17174450E-08   0.41563987E-23   0.48553746E-22   0.32277918E-22   0.25166638E-14   0.30424454E-14   0.46046483E-21   0.66620611E+03   0.11595582E+04   0.12555682E+00   0.24193368E+05   0.76437325E+06   0.72199942E-04  -0.37512175E-01   0.24050081E+03
  0.40004925E+00   0.17481113E-08   0.75808233E-12   0.58630104E-02   0.18022359E-18   0.77894034E+00   0.77880838E-02   0.19600485E+00   0.11048639E-01   0.35506930E-03   0.95475130E-23   0.85948857E-22   0.25558228E-20   0.00000000E+00   0.17495698E-08   0.11093771E-23   0.42740657E-22   0.14381843E-22   0.25636018E-14   0.30983918E-14   0.38512687E-21   0.68026879E+03   0.11667802E+04   0.12295294E+00   0.24192850E+05   0.78097854E+06   0.78064149E-04  -0.40985996E-01   0.24859196E+03
  0.40005148E+00   0.17804668E-08   0.86262623E-12   0.59612852E-02   0.18904073E-18   0.77891810E+00   0.78290474E-02   0.19594920E+00   0.10988829E-01   0.35353576E-03   0.62965769E-23   0.14859790E-21   0.38792080E-20   0.00000000E+00   0.17818289E-08   0.48313265E-23   0.72098276E-22   0.48481162E-22   0.26100952E-14   0.31536244E-14   0.48944986E-22   0.69445737E+03   0.11740682E+04   0.12043704E+00   0.24193214E+05   0.79774120E+06   0.84262073E-04  -0.44700372E-01   0.25674580E+03
  0.40005377E+00   0.18129871E-08   0.98704623E-12   0.60603817E-02   0.19813002E-18   0.77889584E+00   0.78703754E-02   0.19589302E+00   0.10928408E-01   0.35196662E-03   0.42458632E-23   0.10087323E-21   0.47986401E-21   0.00000000E+00   0.18142210E-08   0.62219337E-23   0.61383082E-22   0.15817370E-23   0.26561614E-14   0.32081776E-14   0.21121404E-23   0.70877505E+03   0.11814264E+04   0.11799627E+00   0.24192742E+05   0.81466563E+06   0.90731292E-04  -0.48627309E-01   0.26496386E+03
  0.40005611E+00   0.18456605E-08   0.11354451E-11   0.61603364E-02   0.20737410E-18   0.77887357E+00   0.79120825E-02   0.19583628E+00   0.10867366E-01   0.35036227E-03   0.29237134E-23   0.38263467E-22   0.93669724E-21   0.00000000E+00   0.18467888E-08   0.17866686E-23   0.62934099E-22   0.00000000E+00   0.27020733E-14   0.32623535E-14   0.12527046E-21   0.72322626E+03   0.11888600E+04   0.11563460E+00   0.24193075E+05   0.83175732E+06   0.97557093E-04  -0.52817484E-01   0.27324837E+03
  0.40005852E+00   0.18784908E-08   0.13127678E-11   0.62611672E-02   0.21689177E-18   0.77885126E+00   0.79541772E-02   0.19577898E+00   0.10805696E-01   0.34872322E-03   0.20541286E-23   0.61078938E-22   0.84167561E-21   0.00000000E+00   0.18795385E-08   0.37122688E-23   0.28693144E-22   0.31689219E-23   0.27478808E-14   0.33162183E-14   0.47941968E-21   0.73781351E+03   0.11963732E+04   0.11334093E+00   0.24192644E+05   0.84901982E+06   0.10467329E-03  -0.57240562E-01   0.28160046E+03
  0.40006098E+00   0.19114884E-08   0.15249852E-11   0.63628839E-02   0.22665282E-18   0.77882892E+00   0.79966650E-02   0.19572110E+00   0.10743386E-01   0.34705005E-03   0.14711764E-23   0.50135476E-21   0.10640491E-19   0.00000000E+00   0.19124611E-08   0.19991197E-24   0.36778858E-22   0.93492026E-23   0.27935478E-14   0.33697460E-14   0.62292513E-22   0.75253853E+03   0.12039700E+04   0.11111918E+00   0.24192948E+05   0.86645628E+06   0.11216992E-03  -0.61951035E-01   0.29002079E+03
  0.40006351E+00   0.19446683E-08   0.17793846E-11   0.64655200E-02   0.23665402E-18   0.77880652E+00   0.80395595E-02   0.19566262E+00   0.10680428E-01   0.34534294E-03   0.10729032E-23   0.77101923E-21   0.19797876E-19   0.00000000E+00   0.19455687E-08   0.00000000E+00   0.40824033E-22   0.20744563E-22   0.28391168E-14   0.34229928E-14   0.37250531E-21   0.76740528E+03   0.12116554E+04   0.10895938E+00   0.24192554E+05   0.88407215E+06   0.11997775E-03  -0.66916633E-01   0.29851129E+03
  0.40006609E+00   0.19780409E-08   0.20848018E-11   0.65691051E-02   0.24705468E-18   0.77878406E+00   0.80828728E-02   0.19560354E+00   0.10616812E-01   0.34360206E-03   0.79661647E-24   0.23532275E-20   0.60113781E-19   0.00000000E+00   0.19788739E-08   0.00000000E+00   0.34626262E-22   0.31401449E-22   0.28846381E-14   0.34760215E-14   0.37843184E-21   0.78241729E+03   0.12194347E+04   0.10686475E+00   0.24192832E+05   0.90187220E+06   0.12819149E-03  -0.72195933E-01   0.30707365E+03
  0.40006875E+00   0.20116032E-08   0.24518908E-11   0.66736449E-02   0.25783980E-18   0.77876154E+00   0.81266089E-02   0.19554384E+00   0.10552530E-01   0.34182785E-03   0.60139189E-24   0.55344948E-20   0.15028703E-18   0.48431718E-29   0.20123760E-08   0.32814136E-23   0.40917012E-22   0.11228046E-22   0.29301341E-14   0.35288625E-14   0.50783469E-22   0.79757568E+03   0.12273117E+04   0.10482692E+00   0.24192470E+05   0.91985815E+06   0.13673854E-03  -0.77754339E-01   0.31570816E+03
